reporting_year,chapter_code,chapter_name,metric_group,metric_code,metric_name,amount_czk,source_url
2024,313,Ministerstvo práce a sociálních věcí,transfer,social_capital_support,Transfery na podporu reprodukce majetku nestátním subjektům v sociální oblasti,899104980,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2025,313,Ministerstvo práce a sociálních věcí,chapter_total,total_expenditure,Výdaje celkem,976700807640,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,pensions,Dávky důchodového pojištění,700532353670,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,family_support,Dávky státní sociální podpory a pěstounské péče,63295435350,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,sickness,Dávky nemocenského pojištění,48850476040,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,material_need,Dávky pomoci v hmotné nouzi,14982049540,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,disability,Dávky osobám se zdravotním postižením,4185025540,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,substitute_alimony,Náhradní výživné pro nezaopatřené dítě,309118520,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,other_social_benefits,Ostatní sociální dávky,797820,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,unemployment_support,Podpory v nezaměstnanosti,14936614860,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,care_allowance,Příspěvek na péči podle zákona o sociálních službách,46529185110,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,active_labour_policy,Aktivní politika zaměstnanosti celkem,3736821520,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,employment_insolvency,Výdaje spojené s realizací zákona č. 118/2000 Sb.,306878910,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,compensation_laws,Výdaje spojené s realizací odškodňovacích zákonů,315083140,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,benefit,disabled_employment_support,Příspěvek na podporu zaměstnávání osob se zdravotním postižením,12998018990,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,operations,state_administration_other,Ostatní výdaje organizačních složek státu,21583961290,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,transfer,nonbenefit_transfers,Neinvestiční nedávkové transfery,40906235150,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
2025,313,Ministerstvo práce a sociálních věcí,transfer,social_capital_support,Transfery na podporu reprodukce majetku nestátním subjektům v sociální oblasti,3231685180,https://mf.gov.cz/assets/attachments/2026-04-30_H-Ukazatele-kapitol-statniho-rozpoctu.pdf
